iter	Passed	Remaining
0	0	104
1	0	100
2	1	99
3	1	98
4	1	97
5	1	96
6	2	95
7	2	96
8	2	95
9	3	94
10	3	93
11	3	92
12	4	91
13	4	90
14	4	91
15	5	92
16	5	93
17	5	93
18	6	93
19	6	95
20	7	95
21	7	95
22	7	94
23	8	94
24	8	94
25	8	93
26	9	93
27	9	92
28	9	91
29	10	91
30	10	92
31	11	92
32	11	91
33	11	91
34	11	90
35	12	90
36	12	90
37	13	90
38	13	89
39	13	89
40	14	89
41	14	88
42	14	88
43	15	88
44	15	88
45	15	87
46	16	88
47	16	88
48	17	87
49	17	87
50	17	87
51	18	86
52	18	86
53	19	86
54	19	86
55	19	86
56	20	85
57	20	85
58	20	85
59	21	85
60	21	84
61	22	84
62	22	84
63	22	83
64	23	83
65	23	83
66	23	83
67	24	83
68	24	83
69	25	83
70	25	82
71	25	82
72	26	81
73	26	81
74	27	81
75	27	80
76	27	80
77	28	80
78	28	79
79	28	79
80	29	79
81	29	79
82	30	78
83	30	78
84	30	78
85	31	77
86	31	77
87	32	77
88	32	76
89	32	76
90	33	76
91	33	75
92	33	75
93	34	75
94	34	74
95	35	74
96	35	74
97	35	73
98	36	73
99	36	73
100	36	72
101	37	72
102	37	72
103	38	71
104	38	71
105	38	71
106	39	70
107	39	70
108	39	69
109	40	69
110	40	69
111	40	68
112	41	68
113	41	68
114	42	67
115	42	67
116	42	67
117	43	66
118	43	66
119	44	66
120	44	65
121	44	65
122	45	64
123	45	64
124	45	64
125	46	63
126	46	63
127	47	63
128	47	62
129	47	62
130	48	62
131	48	61
132	49	61
133	49	61
134	49	60
135	50	60
136	50	60
137	50	59
138	51	59
139	52	59
140	52	59
141	52	58
142	53	58
143	53	58
144	54	58
145	55	58
146	55	57
147	55	57
148	56	56
149	56	56
150	57	56
151	57	55
152	57	55
153	58	55
154	58	54
155	58	54
156	59	54
157	60	54
158	60	53
159	61	53
160	61	53
161	62	52
162	62	52
163	62	52
164	63	51
165	63	51
166	63	50
167	64	50
168	64	50
169	65	49
170	65	49
171	65	48
172	66	48
173	66	48
174	66	47
175	67	47
176	67	46
177	67	46
178	68	46
179	68	45
180	69	45
181	69	45
182	70	44
183	70	44
184	70	44
185	71	43
186	71	43
187	71	42
188	72	42
189	72	42
190	73	41
191	73	41
192	73	40
193	74	40
194	74	40
195	75	39
196	75	39
197	75	39
198	76	38
199	76	38
200	76	37
201	77	37
202	77	37
203	78	36
204	78	36
205	78	35
206	79	35
207	79	35
208	79	34
209	80	34
210	80	34
211	81	33
212	81	33
213	81	32
214	82	32
215	82	32
216	82	31
217	83	31
218	83	30
219	84	30
220	84	30
221	84	29
222	85	29
223	85	28
224	85	28
225	86	28
226	86	27
227	86	27
228	87	27
229	87	26
230	87	26
231	88	25
232	88	25
233	89	25
234	89	24
235	89	24
236	90	23
237	90	23
238	90	23
239	91	22
240	91	22
241	92	22
242	92	21
243	92	21
244	93	20
245	93	20
246	94	20
247	94	19
248	94	19
249	95	19
250	95	18
251	95	18
252	96	17
253	96	17
254	97	17
255	97	16
256	98	16
257	98	16
258	98	15
259	99	15
260	99	14
261	99	14
262	100	14
263	100	13
264	100	13
265	101	12
266	101	12
267	102	12
268	102	11
269	102	11
270	103	11
271	103	10
272	104	10
273	104	9
274	104	9
275	105	9
276	105	8
277	106	8
278	106	8
279	106	7
280	107	7
281	107	6
282	107	6
283	108	6
284	108	5
285	109	5
286	109	4
287	109	4
288	110	4
289	110	3
290	110	3
291	111	3
292	111	2
293	112	2
294	112	1
295	112	1
296	113	1
297	113	0
298	114	0
299	114	0
